customer_id,tenure,monthly_charges,total_charges,contract,payment_method,internet_service,tech_support,online_security,support_calls,churn
74,29,78.03,2262.87,One year,Cash,DSL,Yes,No,3,No
75,15,53.93,808.95,One year,Credit,DSL,No,No,4,No
76,45,72.98,3284.1,One year,UPI,Fiber,No,Yes,2,No
77,65,86.69,5634.85,Month-to-month,Credit,DSL,No,No,0,Yes
78,71,55.04,3907.84,Month-to-month,Debit,Fiber,Yes,No,2,No
79,9,119.45,1075.05,Month-to-month,Debit,Fiber,Yes,No,1,No
80,1,76.38,76.38,Month-to-month,Cash,Fiber,No,Yes,1,Yes
81,8,102.45,819.6,Month-to-month,Credit,Fiber,Yes,Yes,1,Yes
82,63,92.51,5828.13,Month-to-month,Cash,None,Yes,No,1,No
83,11,105.28,1158.08,Month-to-month,Cash,Fiber,No,Yes,5,Yes
84,8,37.38,299.04,Month-to-month,Cash,None,Yes,Yes,2,Yes
85,35,42.26,1479.1,Two year,Cash,Fiber,No,No,1,No
86,35,68.74,2405.9,One year,Cash,None,No,No,0,No
87,33,105.23,3472.59,One year,Debit,Fiber,No,No,4,Yes
88,5,39.76,198.8,Month-to-month,UPI,DSL,Yes,No,3,Yes
89,41,117.11,4801.51,Month-to-month,UPI,DSL,Yes,Yes,0,No
90,28,32.76,917.28,Month-to-month,UPI,None,No,No,0,No
91,7,37.51,262.57,Month-to-month,Debit,DSL,Yes,Yes,2,No
92,72,36.72,2643.84,Month-to-month,Credit,Fiber,No,No,1,No
93,12,78.6,943.2,One year,Debit,DSL,No,No,0,No
94,34,111.75,3799.5,One year,Debit,Fiber,No,No,1,No
95,33,45.51,1501.83,Month-to-month,Credit,Fiber,No,No,3,Yes
96,48,75.3,3614.4,Two year,Cash,DSL,Yes,No,2,No
97,23,37.58,864.34,One year,Cash,Fiber,No,No,2,No
98,62,83.11,5152.82,One year,Cash,DSL,No,No,1,No
99,37,32.32,1195.84,Month-to-month,Credit,DSL,No,No,2,No
100,44,69.13,3041.72,Two year,Debit,DSL,No,No,0,Yes
101,35,85.52,2993.2,Month-to-month,Debit,DSL,No,No,3,Yes
102,65,77.91,5064.15,Month-to-month,Credit,Fiber,No,No,1,Yes
103,47,34,1598,One year,Cash,DSL,No,No,1,Yes
104,3,36.14,108.42,Month-to-month,Credit,DSL,No,Yes,1,Yes
105,1,87.14,87.14,Two year,Debit,DSL,Yes,No,1,Yes
106,5,100.89,504.45,Two year,UPI,Fiber,No,Yes,1,Yes
107,14,110.81,1551.34,Month-to-month,UPI,DSL,No,Yes,2,Yes
108,27,101.36,2736.72,Month-to-month,UPI,DSL,No,Yes,0,Yes
109,9,117.39,1056.51,Month-to-month,Cash,Fiber,No,No,1,Yes
110,15,60.83,912.45,Month-to-month,Cash,DSL,No,Yes,2,No
111,42,53.12,2231.04,Month-to-month,Cash,None,No,No,1,No
112,51,22.82,1163.82,Month-to-month,Cash,DSL,No,Yes,0,No
113,63,64.99,4094.37,Month-to-month,Credit,Fiber,Yes,No,3,No
114,52,85.14,4427.28,One year,UPI,Fiber,No,No,2,No
115,4,101.54,406.16,Month-to-month,UPI,DSL,No,No,2,Yes
116,23,46.75,1075.25,Two year,Cash,Fiber,Yes,No,3,No
117,15,71.36,1070.4,Month-to-month,Cash,None,No,Yes,0,No
118,43,86.2,3706.6,Month-to-month,Credit,Fiber,Yes,No,2,No
119,29,75.16,2179.64,One year,Credit,DSL,No,No,0,Yes
120,36,47.4,1706.4,Month-to-month,Credit,DSL,No,No,1,No
121,13,99.63,1295.19,One year,UPI,Fiber,No,No,1,No
122,32,37.34,1194.88,One year,UPI,DSL,No,No,0,No
123,71,110.5,7845.5,One year,UPI,None,Yes,Yes,0,No
124,59,115.26,6800.34,Month-to-month,UPI,None,No,Yes,0,Yes
125,28,56.56,1583.68,One year,Credit,None,Yes,No,2,No
126,66,57.62,3802.92,One year,Cash,Fiber,Yes,No,4,No
127,42,94.33,3961.86,Month-to-month,UPI,Fiber,Yes,Yes,0,No
128,45,65.63,2953.35,One year,Credit,Fiber,No,No,3,No
129,62,22.86,1417.32,Month-to-month,Cash,Fiber,No,No,0,No
130,57,111.99,6383.43,Month-to-month,Debit,DSL,Yes,No,0,Yes
131,6,63.08,378.48,Month-to-month,Cash,DSL,No,Yes,0,No
132,28,40.35,1129.8,Month-to-month,Debit,Fiber,No,No,1,No
133,28,75.57,2115.96,Month-to-month,Debit,DSL,Yes,Yes,3,No
134,44,41.89,1843.16,Month-to-month,UPI,DSL,Yes,No,1,No
135,30,40.6,1218,Month-to-month,Credit,DSL,No,Yes,4,Yes
136,62,74.57,4623.34,Month-to-month,Cash,None,Yes,Yes,1,No
137,62,59.1,3664.2,Two year,Debit,Fiber,Yes,No,1,No
138,1,77.3,77.3,Month-to-month,Credit,Fiber,No,Yes,1,Yes
139,27,119.68,3231.36,Two year,Cash,Fiber,Yes,Yes,1,No
140,62,105.9,6565.8,Month-to-month,UPI,DSL,No,Yes,1,Yes
141,3,20.77,62.31,One year,Cash,Fiber,No,Yes,1,No
142,70,25.06,1754.2,Month-to-month,UPI,DSL,No,No,0,No
143,72,81.01,5832.72,Month-to-month,Cash,DSL,Yes,No,0,No
144,27,82.63,2231.01,Two year,Cash,None,Yes,Yes,0,No
145,9,107.82,970.38,One year,Debit,DSL,Yes,No,2,No
146,62,82.91,5140.42,One year,Debit,DSL,Yes,No,2,No
147,37,42.77,1582.49,Month-to-month,Debit,DSL,No,No,1,No
148,51,66.85,3409.35,One year,UPI,Fiber,No,No,1,No
149,44,100.9,4439.6,Month-to-month,Cash,Fiber,No,Yes,0,Yes
150,24,112.28,2694.72,Month-to-month,Cash,None,No,Yes,1,Yes
151,59,43.69,2577.71,Month-to-month,UPI,Fiber,No,No,1,No
152,32,73.96,2366.72,Month-to-month,Cash,Fiber,No,Yes,2,No
153,52,35.89,1866.28,Month-to-month,Debit,Fiber,No,No,2,No
154,62,69.7,4321.4,One year,UPI,DSL,No,Yes,0,No
155,58,29.01,1682.58,Two year,UPI,Fiber,No,No,1,No
156,52,114.17,5936.84,Month-to-month,Cash,DSL,No,No,0,Yes
157,12,83.81,1005.72,Two year,Debit,None,No,No,1,No
158,39,105.42,4111.38,One year,Cash,Fiber,Yes,Yes,2,No
159,2,119.83,239.66,Month-to-month,Cash,Fiber,Yes,Yes,3,Yes
160,3,38.27,114.81,Month-to-month,UPI,Fiber,No,No,3,Yes
161,56,89.41,5006.96,Month-to-month,UPI,Fiber,No,No,1,Yes
162,59,108.7,6413.3,Month-to-month,Credit,Fiber,No,Yes,0,Yes
163,2,77.59,155.18,Two year,Cash,DSL,Yes,Yes,2,No
164,2,83.97,167.94,Month-to-month,Credit,DSL,Yes,No,1,Yes
165,54,60.77,3281.58,Month-to-month,Cash,DSL,No,No,1,No
166,1,87.48,87.48,Month-to-month,Credit,DSL,Yes,Yes,1,Yes
167,19,59.56,1131.64,Month-to-month,Cash,Fiber,No,No,1,No
168,2,67.66,135.32,Month-to-month,UPI,Fiber,Yes,No,2,No
169,53,30.29,1605.37,Month-to-month,UPI,DSL,Yes,No,1,Yes
170,44,20.78,914.32,Two year,Credit,Fiber,Yes,No,1,No
171,32,25.52,816.64,Month-to-month,Credit,Fiber,Yes,Yes,1,No
172,70,39.25,2747.5,Month-to-month,Credit,DSL,No,No,1,No
173,32,65.66,2101.12,Two year,Debit,Fiber,No,Yes,1,No
174,68,22.1,1502.8,Month-to-month,Credit,Fiber,Yes,Yes,2,No
175,55,35.59,1957.45,Month-to-month,Credit,Fiber,No,Yes,1,No
176,56,98.14,5495.84,Month-to-month,Credit,DSL,No,No,1,No
177,17,96.22,1635.74,Month-to-month,Debit,Fiber,Yes,Yes,2,No
178,38,98.97,3760.86,Month-to-month,Debit,Fiber,No,No,2,Yes
179,24,112.15,2691.6,Month-to-month,Cash,None,No,No,1,Yes
180,69,31.91,2201.79,Month-to-month,UPI,Fiber,No,No,1,No
181,70,36.31,2541.7,One year,Credit,Fiber,Yes,Yes,3,No
182,11,53.36,586.96,Month-to-month,Credit,DSL,No,No,1,No
183,16,111.51,1784.16,Month-to-month,UPI,Fiber,Yes,No,3,No
184,59,97.55,5755.45,Two year,Cash,DSL,No,No,0,No
185,70,52.41,3668.7,One year,Cash,DSL,Yes,No,1,No
186,3,28.76,86.28,One year,Credit,Fiber,No,Yes,0,No
187,20,81.64,1632.8,Month-to-month,UPI,DSL,No,No,2,Yes
188,59,45.68,2695.12,Month-to-month,Credit,DSL,Yes,Yes,1,No
189,36,73.12,2632.32,Month-to-month,Credit,DSL,No,Yes,1,No
190,19,114.18,2169.42,One year,Credit,Fiber,Yes,Yes,3,No
191,67,77.26,5176.42,Month-to-month,UPI,Fiber,No,No,0,No
192,19,112.38,2135.22,One year,UPI,None,No,No,2,No
193,20,59.3,1186,Two year,Cash,DSL,No,Yes,0,No
194,71,83.34,5917.14,One year,UPI,Fiber,No,Yes,2,No
195,52,109.39,5688.28,One year,UPI,DSL,No,No,0,No
196,33,78.8,2600.4,Month-to-month,UPI,Fiber,No,Yes,4,Yes
197,40,81.49,3259.6,Month-to-month,Debit,DSL,Yes,Yes,1,No
198,39,91.63,3573.57,Month-to-month,Cash,DSL,Yes,No,0,No
199,1,108.21,108.21,Month-to-month,UPI,None,Yes,No,0,Yes
200,11,28.82,317.02,Month-to-month,Credit,Fiber,No,No,1,No
201,57,53.69,3060.33,Month-to-month,Debit,DSL,Yes,Yes,1,No
202,50,59.77,2988.5,Two year,Debit,DSL,No,Yes,3,No
203,23,110.97,2552.31,Two year,Cash,Fiber,Yes,No,3,No
204,31,115.6,3583.6,Two year,Debit,DSL,Yes,No,2,No
205,42,32.04,1345.68,Month-to-month,Debit,Fiber,No,Yes,0,No
206,7,31.91,223.37,Month-to-month,Cash,Fiber,No,No,1,No
207,16,113.49,1815.84,Month-to-month,UPI,Fiber,No,No,3,Yes
208,60,49.58,2974.8,Month-to-month,Cash,Fiber,No,No,1,No
209,2,44.18,88.36,One year,Credit,Fiber,Yes,Yes,1,No
210,1,23.56,23.56,Month-to-month,UPI,Fiber,No,No,0,Yes
211,48,47.56,2282.88,Month-to-month,UPI,DSL,No,No,2,No
212,12,89.35,1072.2,Month-to-month,Debit,Fiber,No,Yes,0,Yes
213,69,62.6,4319.4,Month-to-month,UPI,None,Yes,No,1,No
214,37,71.69,2652.53,One year,Debit,Fiber,No,Yes,1,No
215,32,111.73,3575.36,Two year,UPI,DSL,Yes,No,1,No
216,9,31.47,283.23,Two year,Cash,Fiber,No,Yes,5,No
217,19,27.12,515.28,Month-to-month,Debit,DSL,Yes,Yes,3,No
218,48,105.19,5049.12,Two year,Cash,Fiber,No,No,3,Yes
219,3,97.49,292.47,Month-to-month,Debit,DSL,Yes,No,1,Yes
220,20,46.37,927.4,One year,Debit,Fiber,No,Yes,4,No
221,24,52.42,1258.08,Two year,Debit,Fiber,No,Yes,3,No
222,54,51.03,2755.62,Month-to-month,UPI,Fiber,No,Yes,1,No
223,33,84.78,2797.74,Two year,UPI,Fiber,No,No,1,No
224,24,26.12,626.88,Month-to-month,Cash,Fiber,No,No,6,Yes
225,72,68.94,4963.68,Month-to-month,Credit,Fiber,No,No,3,Yes
226,36,33.39,1202.04,Month-to-month,Cash,DSL,No,Yes,1,Yes
227,38,101.97,3874.86,One year,Credit,Fiber,No,No,4,Yes
228,25,58.07,1451.75,One year,Debit,DSL,No,No,1,No
229,18,72.76,1309.68,One year,Credit,DSL,Yes,No,3,No
230,66,22.93,1513.38,Month-to-month,Credit,DSL,Yes,No,0,No
231,54,25.83,1394.82,Month-to-month,Debit,DSL,Yes,Yes,0,No
232,35,87.51,3062.85,One year,Cash,DSL,Yes,No,0,Yes
233,61,96.68,5897.48,Month-to-month,Debit,DSL,Yes,No,2,No
234,41,91,3731,Month-to-month,Debit,None,No,No,1,Yes
235,33,93.7,3092.1,Month-to-month,Credit,DSL,Yes,No,0,No
236,68,30.46,2071.28,Month-to-month,Debit,Fiber,No,No,1,No
237,33,89.35,2948.55,Month-to-month,Cash,Fiber,Yes,No,2,Yes
238,14,38.17,534.38,Month-to-month,Credit,Fiber,Yes,Yes,2,No
239,21,29.8,625.8,Two year,Cash,None,No,Yes,1,No
240,48,95.72,4594.56,One year,Debit,DSL,Yes,No,1,No
241,20,108.94,2178.8,One year,Cash,Fiber,No,No,1,Yes
242,8,91.67,733.36,Month-to-month,Cash,DSL,No,No,1,Yes
243,7,100.56,703.92,One year,Debit,Fiber,No,Yes,1,No
244,67,119.11,7980.37,Month-to-month,UPI,Fiber,Yes,Yes,0,Yes
245,17,33.48,569.16,Month-to-month,Cash,DSL,No,Yes,1,Yes
246,33,116.52,3845.16,Month-to-month,UPI,DSL,No,Yes,4,Yes
247,48,80.12,3845.76,One year,Debit,DSL,Yes,No,1,No
248,59,101.33,5978.47,Month-to-month,UPI,None,No,Yes,1,Yes
249,22,85.02,1870.44,Month-to-month,UPI,Fiber,No,No,0,Yes
250,30,77,2310,Month-to-month,UPI,Fiber,No,No,1,No
251,38,90.36,3433.68,One year,UPI,Fiber,No,Yes,1,No
252,51,52.03,2653.53,One year,Cash,DSL,Yes,No,0,No
253,54,112.43,6071.22,Two year,Cash,Fiber,Yes,No,2,No
254,8,31.53,252.24,Month-to-month,Credit,DSL,No,No,1,No
255,27,51.8,1398.6,Two year,UPI,DSL,No,No,2,Yes
256,27,23.12,624.24,One year,Debit,Fiber,No,Yes,3,No
257,21,47.13,989.73,Month-to-month,Cash,DSL,Yes,No,4,No
258,30,41.82,1254.6,One year,UPI,Fiber,Yes,No,0,No
259,28,24.96,698.88,Month-to-month,Debit,DSL,No,Yes,1,No
260,64,69.18,4427.52,Month-to-month,Credit,Fiber,No,No,1,No
261,69,66.86,4613.34,Month-to-month,Debit,DSL,No,Yes,3,Yes
262,61,27.77,1693.97,Month-to-month,Debit,Fiber,No,Yes,3,No
263,48,46.19,2217.12,Month-to-month,UPI,Fiber,Yes,No,2,No
264,19,115.33,2191.27,Two year,Cash,None,No,No,2,No
265,4,31.07,124.28,Month-to-month,Debit,None,No,Yes,0,Yes
266,35,50.5,1767.5,Month-to-month,Debit,None,Yes,No,2,Yes
267,64,23.59,1509.76,Month-to-month,Credit,DSL,No,Yes,2,No
268,49,34.89,1709.61,Month-to-month,Cash,DSL,No,No,3,Yes
269,17,89.94,1528.98,Two year,Cash,Fiber,No,Yes,0,No
270,44,56.67,2493.48,Month-to-month,Cash,None,No,No,2,No
271,30,65.21,1956.3,Month-to-month,Cash,None,No,Yes,0,Yes
272,46,35.7,1642.2,One year,Cash,DSL,Yes,Yes,3,No
273,6,88.21,529.26,Month-to-month,Credit,DSL,No,No,1,Yes
274,37,95.15,3520.55,Two year,Cash,None,No,No,4,Yes
275,24,38.11,914.64,Month-to-month,Cash,None,Yes,No,2,Yes
276,46,24.5,1127,One year,UPI,Fiber,No,No,2,No
277,53,28.09,1488.77,One year,Credit,Fiber,No,No,3,No
278,60,85.7,5142,One year,Credit,Fiber,No,No,0,Yes
279,63,33.55,2113.65,One year,Cash,DSL,No,No,5,No
280,32,69.39,2220.48,One year,Debit,Fiber,No,No,3,No
281,33,35.26,1163.58,Month-to-month,UPI,DSL,No,No,0,No
282,67,37.01,2479.67,Month-to-month,UPI,Fiber,No,No,2,No
283,18,20.44,367.92,Two year,Debit,Fiber,Yes,Yes,3,No
284,25,52.08,1302,Month-to-month,Cash,Fiber,No,No,3,Yes
285,54,28.98,1564.92,Month-to-month,Cash,Fiber,No,No,0,No
286,58,59.4,3445.2,Month-to-month,Credit,Fiber,No,No,1,No
287,67,79.78,5345.26,Month-to-month,Cash,Fiber,No,No,3,Yes
288,46,56.75,2610.5,One year,Credit,DSL,No,No,0,No
289,24,90.51,2172.24,One year,Credit,Fiber,No,No,2,No
290,32,94.15,3012.8,Month-to-month,UPI,Fiber,No,No,2,Yes
291,47,89.66,4214.02,Two year,Debit,Fiber,No,No,0,Yes
292,23,113.67,2614.41,One year,Debit,DSL,No,No,1,No
293,66,43.73,2886.18,Month-to-month,Credit,Fiber,No,No,4,No
294,27,38.95,1051.65,Month-to-month,UPI,Fiber,No,No,1,Yes
295,2,80.97,161.94,Two year,Debit,Fiber,No,No,1,Yes
296,17,79.49,1351.33,Month-to-month,Credit,DSL,No,No,3,Yes
297,33,71.01,2343.33,Month-to-month,Credit,DSL,Yes,No,1,No
298,9,20.44,183.96,Month-to-month,Debit,DSL,Yes,Yes,1,Yes
299,43,75.52,3247.36,Month-to-month,Debit,Fiber,Yes,No,2,Yes
300,48,113.28,5437.44,Two year,Debit,DSL,Yes,Yes,3,No
301,39,53.46,2084.94,One year,UPI,Fiber,No,Yes,0,No
302,42,116.76,4903.92,Month-to-month,Credit,Fiber,No,Yes,1,No
303,26,55.68,1447.68,One year,Cash,Fiber,Yes,No,3,No
304,50,33.99,1699.5,Month-to-month,Debit,DSL,No,Yes,0,No
305,25,59.84,1496,Month-to-month,UPI,None,No,No,0,No
306,24,69.46,1667.04,One year,UPI,Fiber,No,No,1,No
307,13,82.95,1078.35,Month-to-month,Debit,Fiber,No,No,1,Yes
308,60,70.49,4229.4,Two year,Debit,Fiber,No,Yes,1,No
309,7,73.67,515.69,One year,Debit,Fiber,No,No,1,Yes
310,57,22.41,1277.37,Month-to-month,Debit,Fiber,Yes,Yes,0,No
311,36,45.36,1632.96,Two year,UPI,DSL,Yes,No,1,No
312,45,51.07,2298.15,Month-to-month,Debit,Fiber,Yes,No,1,No
313,20,118.71,2374.2,Month-to-month,Credit,DSL,Yes,Yes,0,No
314,65,49.56,3221.4,One year,Credit,DSL,Yes,Yes,1,No
315,8,109.66,877.28,One year,Debit,Fiber,No,Yes,3,Yes
316,16,50.47,807.52,Month-to-month,Debit,Fiber,Yes,No,0,No
317,14,29.61,414.54,Two year,UPI,DSL,No,No,2,No
318,15,44.76,671.4,Month-to-month,Credit,None,No,Yes,1,Yes
319,66,47.28,3120.48,Month-to-month,Credit,DSL,No,No,2,No
320,32,117.82,3770.24,Two year,UPI,Fiber,Yes,No,2,No
321,63,87.43,5508.09,One year,Debit,DSL,No,Yes,2,No
322,51,113.17,5771.67,Month-to-month,Cash,DSL,No,Yes,2,No
323,25,103.5,2587.5,Two year,UPI,Fiber,No,No,2,No
324,58,77.86,4515.88,One year,UPI,DSL,Yes,No,2,No
325,63,87.54,5515.02,One year,Cash,Fiber,Yes,No,2,No
326,62,82.48,5113.76,One year,Credit,Fiber,No,Yes,1,No
327,22,86.63,1905.86,One year,UPI,Fiber,No,No,2,No
328,58,46.48,2695.84,Month-to-month,Credit,DSL,No,No,1,No
329,58,60.81,3526.98,Month-to-month,Credit,DSL,No,No,2,No
330,49,79.26,3883.74,Two year,UPI,Fiber,No,Yes,4,No
331,52,23.59,1226.68,Month-to-month,UPI,DSL,Yes,No,2,No
332,42,68.28,2867.76,Month-to-month,Debit,Fiber,No,No,1,No
333,70,105.97,7417.9,Month-to-month,Credit,DSL,Yes,Yes,5,Yes
334,15,69.24,1038.6,Month-to-month,UPI,Fiber,No,No,3,Yes
335,54,75.23,4062.42,One year,Credit,DSL,Yes,No,1,No
336,60,40.19,2411.4,Month-to-month,UPI,Fiber,No,Yes,2,No
337,8,99.43,795.44,Month-to-month,UPI,Fiber,Yes,Yes,3,Yes
338,53,55.89,2962.17,Two year,Debit,Fiber,No,Yes,0,No
339,60,115.66,6939.6,One year,Debit,Fiber,Yes,Yes,2,No
340,5,119.37,596.85,Month-to-month,Debit,None,No,Yes,2,Yes
341,68,111.6,7588.8,Month-to-month,UPI,Fiber,Yes,No,1,No
342,6,28.49,170.94,One year,Debit,Fiber,No,Yes,0,No
343,47,53.32,2506.04,Two year,Credit,DSL,Yes,No,2,No
344,55,114.51,6298.05,Month-to-month,Credit,None,No,Yes,1,Yes
345,40,100.45,4018,Month-to-month,UPI,DSL,No,No,0,Yes
346,52,111.12,5778.24,Month-to-month,Debit,None,No,Yes,1,Yes
347,16,77.26,1236.16,Month-to-month,Cash,Fiber,No,No,0,No
348,13,68.04,884.52,Month-to-month,UPI,Fiber,No,No,0,Yes
349,30,30.65,919.5,One year,Cash,Fiber,No,No,0,No
350,19,103.95,1975.05,Month-to-month,UPI,DSL,No,Yes,3,No
351,17,94.51,1606.67,One year,Cash,DSL,Yes,No,2,No
352,63,25.89,1631.07,Month-to-month,Credit,Fiber,No,No,1,No
353,19,40.94,777.86,Month-to-month,Cash,DSL,No,No,3,Yes
354,58,75.73,4392.34,Month-to-month,Debit,DSL,Yes,No,3,No
355,55,88.44,4864.2,Month-to-month,Cash,DSL,No,No,2,Yes
356,62,33.77,2093.74,Month-to-month,Cash,DSL,Yes,Yes,0,No
357,23,44.48,1023.04,Two year,Credit,Fiber,Yes,No,2,No
358,9,39.31,353.79,One year,Debit,DSL,Yes,Yes,2,No
359,12,42,504,One year,Debit,Fiber,No,No,2,No
360,1,112.07,112.07,One year,Cash,Fiber,No,No,1,Yes
361,58,91.58,5311.64,Month-to-month,UPI,DSL,No,Yes,1,Yes
362,1,93.71,93.71,Two year,Debit,DSL,Yes,Yes,0,Yes
363,34,99.4,3379.6,Two year,Debit,None,No,Yes,3,Yes
364,48,55.66,2671.68,Month-to-month,UPI,None,No,Yes,0,Yes
365,1,96.72,96.72,Two year,Credit,None,Yes,Yes,3,Yes
366,16,117.84,1885.44,Month-to-month,Credit,Fiber,No,No,2,Yes
367,61,89.84,5480.24,Month-to-month,Credit,Fiber,Yes,No,0,No
368,64,61.68,3947.52,Month-to-month,Debit,DSL,No,No,2,No
369,63,91.64,5773.32,Two year,Debit,Fiber,No,Yes,2,Yes
370,69,110.08,7595.52,One year,UPI,Fiber,No,No,2,No
371,22,32.88,723.36,One year,UPI,DSL,No,No,0,No
372,67,46.53,3117.51,Month-to-month,UPI,Fiber,No,No,1,No
373,26,111.93,2910.18,Month-to-month,Cash,Fiber,No,Yes,1,Yes
374,16,114.62,1833.92,Two year,Credit,DSL,Yes,Yes,2,No
375,51,68.41,3488.91,Month-to-month,Debit,None,Yes,No,3,Yes
376,57,57.46,3275.22,Month-to-month,UPI,DSL,No,No,2,No
377,29,48.28,1400.12,Month-to-month,Debit,Fiber,Yes,Yes,0,No
378,69,69.88,4821.72,Month-to-month,Cash,Fiber,No,No,1,No
379,47,113.45,5332.15,One year,UPI,Fiber,No,Yes,3,Yes
